City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Cherskiy,RU,68.75,161.3,30.47,78,67,13.27,broken clouds
112,Zaysan,KZ,47.4667,84.8667,59.04,61,97,6.89,light rain
113,Kalmunai,LK,7.4167,81.8167,79.88,84,99,17.43,moderate rain
114,Saskylakh,RU,71.9167,114.0833,34.93,94,100,11.88,overcast clouds
115,Pemba,MZ,-12.974,40.5178,75.96,78,73,17.6,light rain
116,Alihe,CN,50.5667,123.7167,54.41,86,69,5.61,broken clouds
117,Riyadh,SA,24.6877,46.7219,105.94,6,0,10.94,clear sky
118,Alice Springs,AU,-23.7,133.8833,49.55,100,100,0.0,overcast clouds
119,Ambulu,ID,-8.345,113.6058,76.8,89,100,2.86,light rain
120,Aklavik,CA,68.2191,-135.0107,33.46,74,100,8.55,overcast clouds
121,Sao Filipe,CV,14.8961,-24.4956,78.4,62,16,8.55,few clouds
122,Hasaki,JP,35.7333,140.8333,59.4,66,17,3.65,few clouds
123,Coquimbo,CL,-29.9533,-71.3436,60.57,57,100,2.26,overcast clouds
124,Asyut,EG,27.181,31.1837,102.2,8,26,12.3,scattered clouds
125,Vardo,NO,70.3705,31.1107,42.78,100,100,2.3,overcast clouds
126,Lagos,NG,6.5833,3.75,89.92,60,97,7.99,overcast clouds
127,Chiredzi,ZW,-21.05,31.6667,69.98,50,100,4.12,overcast clouds
128,Damara,CF,4.9608,18.7035,76.37,87,100,7.36,light rain
129,Souillac,MU,-20.5167,57.5167,73.78,73,40,16.11,scattered clouds
130,Palana,RU,59.1167,159.9667,36.25,89,100,9.06,overcast clouds
131,Lysyanka,UA,49.2523,30.8295,71.89,49,91,6.93,overcast clouds
132,Robertsport,LR,6.7533,-11.3686,81.05,79,83,8.37,broken clouds
133,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,46.26,75,3,1.52,clear sky
134,Faanui,PF,-16.4833,-151.75,80.04,74,8,15.79,light rain
135,Havoysund,NO,70.9963,24.6622,50.23,95,100,20.09,overcast clouds
136,Provideniya,RU,64.3833,-173.3,46.54,61,94,3.47,overcast clouds
137,Camacha,PT,33.0833,-16.3333,67.42,64,40,12.66,scattered clouds
138,Saint-Philippe,RE,-21.3585,55.7679,74.79,77,35,15.84,light rain
139,Georgetown,MY,5.4112,100.3354,84.15,74,40,1.14,scattered clouds
140,Ahuimanu,US,21.4447,-157.8378,73.85,82,20,1.99,few clouds
141,La Romana,DO,18.4273,-68.9728,86.4,59,67,12.15,broken clouds
142,Phan Thiet,VN,10.9333,108.1,79.7,84,11,8.08,few clouds
143,Muros,ES,42.7762,-9.0603,68.85,74,16,6.82,few clouds
144,Tasiilaq,GL,65.6145,-37.6368,33.96,60,7,9.22,clear sky
145,Tabou,CI,4.423,-7.3528,80.15,82,85,8.16,light rain
146,Walvis Bay,NA,-22.9575,14.5053,83.52,20,5,2.28,clear sky
147,Vanavara,RU,60.34,102.2797,42.94,78,100,7.45,light rain
148,Half Moon Bay,US,37.4636,-122.4286,62.58,78,100,0.0,mist
149,Dinguiraye,GN,11.3,-10.7167,96.39,27,83,7.96,broken clouds
150,Okha,RU,53.5739,142.9478,40.32,87,40,7.56,scattered clouds
151,Severo-Kurilsk,RU,50.6789,156.125,40.98,92,59,8.01,broken clouds
152,Liepaja,LV,56.5419,21.0367,57.18,72,0,8.05,clear sky
153,Touros,BR,-5.1989,-35.4608,84.04,66,100,10.63,overcast clouds
154,Luau,AO,-10.7073,22.2247,79.54,30,0,5.86,clear sky
155,Kruisfontein,ZA,-34.0033,24.7314,61.88,74,100,17.18,overcast clouds
156,Kiama,AU,-34.6833,150.8667,54.57,73,0,8.01,clear sky
157,Kourou,GF,5.1552,-52.6478,86.11,74,83,8.7,light rain
158,Aberdeen,GB,57.1437,-2.0981,68.65,54,11,11.5,few clouds
159,Acapulco,MX,16.8634,-99.8901,82.6,72,28,0.83,scattered clouds
160,Victoria,HK,22.2855,114.1577,86.38,84,100,15.01,overcast clouds
161,Kapaa,US,22.0752,-159.319,70.12,95,100,4.61,overcast clouds
162,Barrow,US,71.2906,-156.7887,26.62,93,100,23.02,overcast clouds
163,Yulara,AU,-25.2406,130.9889,54.93,46,6,1.52,clear sky
164,Port Lincoln,AU,-34.7333,135.8667,55.2,72,99,21.94,overcast clouds
165,Molteno,ZA,-31.3968,26.3625,54.45,34,6,8.99,clear sky
166,Avarua,CK,-21.2078,-159.775,77.05,83,20,9.22,few clouds
167,Tura,IN,25.5198,90.2201,72.99,96,60,6.49,broken clouds
168,Lapao,BR,-11.3833,-41.8319,84.2,26,95,16.13,overcast clouds
169,Pedernales,DO,18.0384,-71.744,86.4,58,30,7.11,scattered clouds
170,Port Elizabeth,ZA,-33.918,25.5701,64.09,79,95,10.0,overcast clouds
171,Saint-Pierre,RE,-21.3393,55.4781,74.88,73,40,21.85,scattered clouds
172,Jamestown,US,42.097,-79.2353,61.95,38,0,10.36,clear sky
173,Lisala,CD,2.15,21.5167,81.63,61,100,2.42,overcast clouds
174,Ilebo,CD,-4.3167,20.5833,91.38,35,76,3.98,broken clouds
175,Alofi,NU,-19.0595,-169.9187,78.93,79,7,11.1,light rain
176,Hualmay,PE,-11.0964,-77.6139,70.0,67,79,8.79,broken clouds
177,Sanandaj,IR,35.3144,46.9923,83.28,21,100,5.32,overcast clouds
178,Saint George,US,37.1041,-113.5841,75.79,20,70,4.0,broken clouds
179,Hovd,MN,48.0056,91.6419,63.99,18,100,10.11,overcast clouds
180,Arraial Do Cabo,BR,-22.9661,-42.0278,69.8,63,92,10.92,overcast clouds
181,Trelew,AR,-43.249,-65.3051,51.03,49,93,12.03,overcast clouds
182,Calarasi,MD,47.2544,28.3081,78.93,44,60,7.27,broken clouds
183,Bengkulu,ID,-3.8004,102.2655,77.61,86,98,4.16,overcast clouds
184,Sibolga,ID,1.7427,98.7792,77.61,80,100,2.82,overcast clouds
185,Chongwe,ZM,-15.3292,28.682,65.03,50,89,6.76,overcast clouds
186,Codrington,AU,-38.2667,141.9667,52.81,81,100,26.08,light rain
187,Brandon,US,27.9378,-82.2859,79.25,92,100,11.01,overcast clouds
188,Morondava,MG,-20.2833,44.2833,77.61,65,0,11.32,clear sky
189,Luwuk,ID,-0.9516,122.7875,77.43,87,100,2.06,overcast clouds
190,Upernavik,GL,72.7868,-56.1549,29.82,74,16,17.78,few clouds
191,Tutoia,BR,-2.7619,-42.2744,78.58,87,100,2.82,overcast clouds
192,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,58.42,47,100,2.46,overcast clouds
193,Lac Du Bonnet,CA,50.2536,-96.0612,53.24,54,2,9.24,clear sky
194,Mayo,US,38.8876,-76.5119,82.51,50,0,9.22,clear sky
195,Mehamn,NO,71.0357,27.8492,48.11,92,100,10.92,overcast clouds
196,Viedma,AR,-40.8135,-62.9967,51.98,51,77,19.19,broken clouds
197,Kaili,ID,-3.4626,120.2147,66.65,96,100,2.95,overcast clouds
198,Port Augusta,AU,-32.5,137.7667,53.94,60,15,16.11,few clouds
199,Sisimiut,GL,66.9395,-53.6735,50.67,41,24,7.4,few clouds
200,Huanren,CN,41.2647,125.3667,61.52,90,100,4.21,overcast clouds
201,Yerbogachen,RU,61.2767,108.0108,46.22,51,65,1.63,broken clouds
202,Tual,ID,-5.6667,132.75,83.43,73,100,6.91,overcast clouds
203,Basay,PH,9.4087,122.64,80.51,81,89,4.36,overcast clouds
204,Kenora,CA,49.8167,-94.4337,50.97,53,20,9.22,few clouds
205,Broome,US,42.2506,-75.833,69.98,53,0,9.22,clear sky
206,Saint Anthony,US,45.0205,-93.218,69.84,56,0,12.66,clear sky
207,Kodiak,US,57.79,-152.4072,54.91,47,0,4.61,clear sky
208,Bambous Virieux,MU,-20.3428,57.7575,75.22,73,40,16.11,scattered clouds
209,Berlevag,NO,70.8578,29.0864,55.2,87,100,11.5,overcast clouds
210,Kjollefjord,NO,70.9457,27.3465,50.05,94,100,9.1,overcast clouds
211,Golden Gate,US,26.1879,-81.6951,78.98,60,75,6.91,broken clouds
212,Leshukonskoye,RU,64.8989,45.7622,72.39,25,2,9.55,clear sky
213,Itaituba,BR,-4.2761,-55.9836,86.16,74,40,0.0,scattered clouds
214,Ust-Karsk,RU,52.7011,118.8077,54.48,96,100,3.65,light rain
215,Labranzagrande,CO,5.5622,-72.575,72.64,81,52,4.29,broken clouds
216,Namatanai,PG,-3.6667,152.4333,78.96,76,98,6.06,overcast clouds
217,Coihaique,CL,-45.5752,-72.0662,39.96,81,80,8.05,broken clouds
218,Kahului,US,20.8947,-156.47,73.85,81,2,4.0,clear sky
219,Shelburne,CA,44.0787,-80.2041,59.13,51,1,13.29,clear sky
220,Ambon,ID,-3.6954,128.1814,81.68,75,92,2.82,light rain
221,Conde,BR,-7.2597,-34.9075,80.49,75,100,10.47,light rain
222,Sechura,PE,-5.5569,-80.8222,70.54,66,100,9.73,overcast clouds
223,Koumra,TD,8.9126,17.5539,72.18,85,100,3.22,overcast clouds
