City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Ponta Do Sol,PT,2022-05-30 19:33:26,32.6667,-17.1,69.71,80,66,16.53
110,Camana,PE,2022-05-30 19:33:27,-16.6228,-72.7111,65.59,73,86,8.68
111,Barra Patuca,HN,2022-05-30 19:33:27,15.8,-84.2833,81.7,81,100,9.31
112,Casablanca,MA,2022-05-30 19:30:48,33.5928,-7.6192,73.62,73,20,4.61
113,Tacuarembo,UY,2022-05-30 19:33:27,-31.7333,-55.9833,47.25,64,0,10.51
114,Gilgit,PK,2022-05-30 19:33:28,35.9221,74.3087,68.63,59,39,5.64
115,Dnipryany,UA,2022-05-30 19:33:28,46.7463,33.2729,63.27,83,0,6.6
116,Hilo,US,2022-05-30 19:33:28,19.7297,-155.09,87.28,59,40,6.91
117,Havelock,US,2022-05-30 19:33:29,34.8791,-76.9013,87.76,71,40,8.05
118,Dalvik,IS,2022-05-30 19:33:29,65.9702,-18.5286,60.73,47,1,4.36
119,Victoria,HK,2022-05-30 19:31:24,22.2855,114.1577,83.32,87,100,4.0
120,Esperance,AU,2022-05-30 19:33:29,-33.8667,121.9,56.91,75,100,11.59
121,Takoradi,GH,2022-05-30 19:33:30,4.8845,-1.7554,78.31,85,72,8.57
122,Grand Gaube,MU,2022-05-30 19:33:30,-20.0064,57.6608,70.38,80,96,5.01
123,Saskylakh,RU,2022-05-30 19:33:30,71.9167,114.0833,19.49,98,100,2.39
124,San Rafael,AR,2022-05-30 19:33:31,-34.6177,-68.3301,48.04,27,5,5.57
125,Olafsvik,IS,2022-05-30 19:33:31,64.8945,-23.7142,50.09,74,82,12.19
126,Georgetown,MY,2022-05-30 19:30:04,5.4112,100.3354,78.73,100,40,2.3
127,Taber,CA,2022-05-30 19:33:31,49.8167,-112.1518,55.4,77,100,25.32
128,Nenjiang,CN,2022-05-30 19:33:32,49.1833,125.2167,44.56,89,100,3.22
129,Kavieng,PG,2022-05-30 19:33:32,-2.5744,150.7967,81.55,73,100,11.83
130,Chokurdakh,RU,2022-05-30 19:33:32,70.6333,147.9167,35.28,76,73,8.9
131,High Prairie,CA,2022-05-30 19:33:33,55.4334,-116.4858,57.92,38,13,7.36
132,Islamkot,PK,2022-05-30 19:33:33,24.6997,70.177,79.81,84,2,16.8
133,Tyukhtet,RU,2022-05-30 19:33:33,56.5389,89.3011,52.11,86,1,9.33
134,Vilhena,BR,2022-05-30 19:29:18,-12.7406,-60.1458,84.42,61,75,18.41
